Complexity,Price,Dev_Time,Quality,Usability,Mktg_Spend,Sentiment,p_accept,Success,Rating,Revenue
Medium,1319.0387,2.0,0.715,0.747,110.8616,-0.0497,0.8579,1,3.9177,633224.8074
Medium,1093.6672,3.0,0.4455,0.671,230.5756,-0.0888,0.8097,1,3.3661,960880.2451
Medium,1605.0454,2.0,0.3989,0.6819,69.0012,0.0182,0.454,1,4.2869,1180586.5186
Low,1335.2943,3.0,0.7685,0.7785,191.6882,-0.2817,0.9136,1,4.5588,601195.5857
Medium,1020.7336,2.0,0.6545,0.5709,194.8469,0.0473,0.9117,1,3.4524,1376474.5166
High,2214.2418,9.0,0.9442,0.6861,232.15,0.3012,0.3917,0,4.7993,1365704.2925
High,1426.643,2.0,0.591,0.6332,153.1975,0.1513,0.715,0,2.8062,2595424.4417
Low,1492.759,7.0,0.6851,0.4422,114.0028,0.1638,0.4116,0,3.6242,287639.9733
Low,1593.0603,4.0,0.7272,0.5419,214.7204,0.1609,0.8477,1,4.5842,3336151.2402
Low,2053.2471,3.0,0.5894,0.9152,203.3912,0.1807,0.8699,0,4.2984,1624646.1247
Low,1413.0152,7.0,0.6932,0.7377,149.5628,-0.1254,0.6067,0,4.207,729170.8059
Medium,1983.1472,9.0,0.6072,0.4815,202.8036,0.1022,0.1326,0,2.2947,177312.2724
Medium,2406.466,8.0,0.8606,0.4489,103.3072,0.2689,0.1364,0,4.0619,186858.4926
Low,1907.7806,9.0,0.7059,0.6632,167.3118,0.1068,0.3391,0,4.3632,840211.3706
Medium,1489.2113,6.0,0.5656,0.9142,222.1715,-0.2033,0.6641,1,4.3561,728568.5622
Medium,1974.7623,7.0,0.6169,0.652,113.2789,0.1056,0.214,1,4.5164,561625.7769
Low,1504.5976,3.0,0.5313,0.876,146.2264,0.2972,0.9026,1,4.1722,1040085.1917
High,1451.8906,8.0,0.546,0.7328,239.2579,0.3125,0.4745,0,4.0457,501509.7407
Low,1700.1998,7.0,0.6849,0.7507,208.8442,0.375,0.7912,1,3.7421,1255049.1408
High,1391.7295,4.0,0.6672,0.4796,226.5208,0.0157,0.6015,0,3.751,1194038.6288
Low,1011.5831,4.0,0.5515,0.8206,126.6642,0.16,0.8985,1,3.539,790200.5765
High,1640.5142,6.0,0.8372,0.6298,248.3045,0.0429,0.6469,0,3.4079,1377635.9747
High,1149.3426,2.0,0.7215,0.8095,80.3606,0.1156,0.8515,1,3.8656,1169088.8879
High,1511.5199,8.0,0.6472,0.5579,153.2353,0.4965,0.3374,1,4.921,870802.7208
High,1722.729,4.0,0.6496,0.7066,145.3754,0.3469,0.6193,0,4.1458,955783.414
High,2210.61,2.0,0.5768,0.7328,208.888,0.445,0.7041,1,4.3565,1151109.5719
Medium,1114.3301,4.0,0.8615,0.6569,230.8149,-0.1515,0.9181,1,4.0486,1308660.5448
High,2011.7005,8.0,0.9542,0.7407,195.4967,-0.1503,0.3399,1,3.6665,972720.6933
Low,1697.677,4.0,0.8307,0.64,174.7364,0.272,0.8924,1,4.9202,864312.0449
Medium,1155.1577,6.0,0.9601,0.5826,135.0584,0.2959,0.8678,1,3.5156,674893.5851
Medium,1293.0177,8.0,0.6654,0.9208,151.5549,0.351,0.7601,1,4.3013,743054.5946
High,1212.9628,2.0,0.8319,0.8373,151.3508,0.4917,0.9657,1,4.7883,1114246.6395
Medium,1060.0525,8.0,0.3771,0.5659,54.0533,0.1633,0.161,0,3.6832,98114.3313
Medium,1401.7097,4.0,0.7783,0.7653,150.1061,0.0045,0.8398,1,4.0241,1685162.1421
Medium,1535.1979,7.0,0.7041,0.5686,220.3382,0.0263,0.5317,1,3.1116,479971.7709
Low,1535.5948,3.0,0.4216,0.5023,191.1455,0.5128,0.8002,0,3.339,688356.7476
Low,932.5397,3.0,0.658,0.8351,208.346,0.3349,0.9821,1,4.076,931497.9715
Medium,1344.8931,8.0,0.9401,0.4244,127.7065,0.4447,0.6362,1,4.0598,780707.7277
Medium,999.2392,8.0,0.5561,0.819,155.2657,-0.2591,0.4631,1,4.4447,253457.7274
Low,1844.5597,9.0,0.8544,0.6421,56.6632,0.3942,0.3986,1,3.9491,456600.431
Medium,1331.0475,7.0,0.548,0.6483,126.2166,-0.138,0.294,0,3.9441,321466.2599
Medium,1850.9683,5.0,0.8672,0.7415,144.4088,0.2499,0.7765,0,4.7067,1237514.0116
Low,1313.0954,3.0,0.7579,0.7672,100.7866,0.1683,0.9203,1,4.9213,1193634.4475
Medium,913.0536,4.0,0.5763,0.556,56.217,-0.135,0.5303,1,3.6582,293034.5438
Medium,2444.7776,7.0,0.9159,0.7877,187.3912,0.2342,0.5556,0,5.0,2988246.7164
Low,996.6462,4.0,0.5194,0.697,136.5825,-0.0364,0.8084,0,3.7749,1012530.9672
High,1141.0022,5.0,0.7019,0.4916,132.72,0.0439,0.4932,1,4.1562,391195.283
High,1244.2726,3.0,0.8182,0.6545,99.7474,-0.0129,0.7409,1,3.5521,885030.2155
Medium,2200.2561,5.0,0.4487,0.8872,157.0282,-0.0642,0.2992,0,2.6525,736680.9762
Low,1649.2734,3.0,0.4012,0.9315,137.1673,0.2815,0.8316,1,4.3172,2393639.0494
Medium,1854.6229,2.0,0.7356,0.7876,144.3229,0.25,0.8735,0,4.6883,1270533.4949
High,2354.8584,3.0,0.6761,0.5014,165.5934,0.1053,0.2729,1,4.179,979085.8792
Medium,1010.1746,6.0,0.5844,0.7536,51.2586,-0.0256,0.5156,1,3.7806,426197.2758
High,2317.2423,4.0,0.6449,0.8076,230.6315,0.0245,0.472,0,4.9798,2644199.3684
Medium,1073.7806,2.0,0.4267,0.7889,64.1464,0.3662,0.842,1,3.8036,1348120.2283
Medium,1739.9646,6.0,0.5297,0.7977,139.734,0.0484,0.4098,0,4.2586,791991.2548
Low,1475.6542,3.0,0.5703,0.7345,91.2672,0.2476,0.8153,1,4.4339,961693.96
Medium,1496.8188,2.0,0.6831,0.6691,154.2327,0.0822,0.8495,1,5.0,1679305.5317
Low,2265.4532,3.0,0.6605,0.5887,105.7658,-0.0861,0.4067,0,3.7691,793954.6759
Medium,1191.0421,5.0,0.7298,0.3953,221.1413,0.0668,0.7335,1,3.5481,2256909.1378
High,2445.8744,9.0,0.7941,0.7309,128.8756,-0.1299,0.059,1,3.5515,148049.5232
Low,1626.7784,3.0,0.8951,0.7079,177.1124,0.0768,0.9354,1,5.0,1402982.7867
Medium,1791.4787,4.0,0.5525,0.7636,99.5271,0.252,0.5701,1,4.3576,763598.8394
Low,2367.2021,3.0,0.7369,0.4794,53.8618,0.2825,0.4205,0,4.3296,466765.3455
Medium,1135.8698,4.0,0.8475,0.7768,130.4268,0.2735,0.937,1,5.0,1359002.3689
Low,2429.1702,7.0,0.9327,0.95,156.7608,-0.1839,0.5652,1,4.936,1003914.8036
High,1610.3583,4.0,0.4514,0.6918,141.4499,-0.0133,0.3164,0,3.105,852462.6197
Low,1920.8075,7.0,0.6296,0.6708,241.4409,-0.2786,0.4039,0,3.7838,547124.2878
High,1233.711,9.0,0.796,0.7264,190.661,0.3447,0.6166,1,4.0546,917729.5707
High,1813.2442,9.0,0.842,0.95,248.1383,-0.036,0.534,0,4.5046,2076379.2572
Medium,2092.7722,6.0,0.9644,0.5265,108.717,0.1728,0.4537,0,4.2732,339449.1106
High,1685.2803,7.0,0.8148,0.7105,207.0216,0.1115,0.5412,0,4.139,2665952.0797
High,1180.0194,9.0,0.7,0.5601,160.5561,0.1951,0.3143,0,3.4033,326688.9934
High,1403.5688,8.0,0.8487,0.5979,171.7403,0.0725,0.4303,1,5.0,703731.3146
Low,2022.6287,4.0,0.4548,0.6726,246.1848,0.2536,0.7,0,4.024,2331187.0095
Medium,1120.9119,3.0,0.8756,0.8821,180.1435,0.1758,0.9755,1,4.6675,1688643.296
Low,2046.2732,2.0,0.814,0.95,228.8646,0.0294,0.9563,1,5.0,2725901.5722
Medium,2273.7482,9.0,0.5223,0.7472,194.4243,-0.085,0.0954,0,4.1395,390128.5655
Low,956.2235,6.0,0.6803,0.6235,75.3498,0.1292,0.7337,1,4.252,763156.1787
Medium,938.9458,4.0,0.3131,0.95,189.1853,0.3287,0.8958,1,4.3758,2109948.6884
Medium,1737.3362,4.0,0.4124,0.6159,146.3788,0.0075,0.3394,0,3.6749,770006.1543
Medium,1186.1985,4.0,0.9201,0.5943,232.8408,0.167,0.9485,1,4.8204,3380184.9026
Medium,1661.817,8.0,0.4824,0.4138,210.5601,-0.1857,0.1057,0,3.7439,312829.3367
High,1810.4471,6.0,0.5038,0.8894,70.7228,0.1492,0.2255,0,4.2549,153975.0875
High,1950.9846,9.0,0.934,0.8252,76.6492,-0.0294,0.1967,0,4.5876,1074038.0074
Medium,1402.7589,4.0,0.579,0.95,63.8526,0.5004,0.85,1,5.0,767366.5391
Medium,1935.0479,5.0,0.6674,0.4716,148.1557,-0.1782,0.2387,0,3.5047,938613.2026
High,1621.5571,2.0,0.4101,0.8987,66.0736,0.336,0.6059,1,4.3252,834145.3436
Low,1325.6898,9.0,0.8089,0.6905,194.012,-0.1797,0.5984,0,4.455,1467272.2938
Low,1796.221,6.0,0.7497,0.8009,159.9194,0.2453,0.7865,1,4.205,1103803.5321
Low,2230.1922,6.0,0.7153,0.4328,216.3411,0.2254,0.4437,1,3.5762,1575190.6815
Medium,1851.428,5.0,0.6054,0.9002,105.6794,0.1567,0.579,0,4.1786,893694.5076
Medium,1560.9417,4.0,0.5877,0.798,153.309,0.2115,0.7706,1,3.9802,2568422.7609
High,1277.9298,9.0,0.4823,0.6742,73.3785,-0.1612,0.0644,1,2.9788,85877.1769
Medium,1112.6972,5.0,0.7489,0.7768,226.0374,0.141,0.9256,1,4.0987,1921804.3207
Low,1384.5191,7.0,0.818,0.5652,84.826,-0.2428,0.4283,1,4.2056,197941.7365
High,977.7538,2.0,0.7054,0.5931,70.3701,-0.0505,0.7189,0,4.6571,574297.3076
High,2441.2317,4.0,0.8101,0.6105,90.8051,-0.002,0.1965,0,4.5177,518483.8109
Low,1238.0431,8.0,0.6402,0.4021,210.4401,0.2883,0.5927,0,2.5523,963201.5393
Medium,2156.8272,2.0,0.7502,0.8093,71.0571,0.0065,0.6406,1,4.719,1811626.5007
Low,1341.6094,2.0,0.92,0.8587,172.2711,-0.1721,0.9715,1,4.3648,1210404.6091
Low,1294.332,8.0,0.5919,0.5748,198.4901,0.029,0.5182,1,4.0846,794013.847
Low,1415.1952,4.0,0.4806,0.7322,199.4652,0.4458,0.889,1,4.0834,2484463.0723
High,1518.2347,4.0,0.8483,0.6402,87.8221,-0.0229,0.557,1,4.2327,270287.5508
Medium,2166.5128,6.0,0.8019,0.7292,62.2632,0.1681,0.3456,0,4.4132,809819.3348
Medium,2422.1423,3.0,0.8446,0.5859,139.3125,0.4566,0.6914,1,4.4901,1463320.0736
Medium,2331.6531,2.0,0.8871,0.5475,90.2946,0.5719,0.7631,1,5.0,1058804.2677
Medium,973.1131,2.0,0.3826,0.8378,189.1549,0.3615,0.9402,1,4.0116,1208942.7303
High,2063.4724,2.0,0.6903,0.6704,120.9819,0.4898,0.6771,1,4.9177,2357628.2355
High,1142.021,3.0,0.6567,0.95,139.4214,0.1551,0.8929,1,4.9706,1653112.6873
Medium,2231.2757,7.0,0.6472,0.6869,72.5835,0.4994,0.2509,1,4.6644,450102.8086
Medium,1731.1531,4.0,0.7492,0.5411,162.9425,-0.0305,0.5959,0,3.1466,1640696.5174
High,1558.0318,2.0,0.8834,0.864,86.9193,0.4153,0.9192,1,5.0,1881697.6799
Medium,963.3529,2.0,0.3598,0.7746,185.1181,-0.0375,0.852,1,3.4707,888531.3448
High,1019.5699,5.0,0.7688,0.789,64.1626,0.4719,0.8254,1,5.0,513893.3182
Low,1404.1788,8.0,0.8411,0.8586,244.203,0.1883,0.907,1,4.215,1213806.2427
High,2309.1698,4.0,0.7664,0.5821,186.2209,-0.0628,0.3036,0,3.5102,1153516.4476
Medium,2119.0292,2.0,0.7307,0.6609,86.1642,-0.2309,0.4525,0,5.0,834773.9566
Low,2493.2304,3.0,0.9279,0.6543,52.8048,-0.0463,0.5228,1,3.9853,656738.5583
Medium,1106.8124,5.0,0.7068,0.4864,116.5581,0.3258,0.734,1,4.6584,365598.3938
Medium,1599.1216,3.0,0.38,0.6405,80.4098,0.0504,0.3622,1,3.6677,735424.9405
Low,1161.1246,9.0,0.4442,0.8805,93.4639,-0.1464,0.3143,0,3.7037,258224.3963
Medium,1781.8429,8.0,0.7722,0.7156,223.6773,0.2698,0.632,1,4.429,1592682.2762
High,1417.2721,4.0,0.7007,0.4781,170.0377,0.4836,0.7117,1,3.4957,1919818.503
Low,1299.9161,9.0,0.6009,0.4466,85.1151,-0.04,0.1666,0,3.6687,106304.8949
Medium,1855.3814,4.0,0.8176,0.9297,160.7752,0.2812,0.8954,1,4.2592,1737301.5562
Medium,1096.7036,3.0,0.5081,0.6665,100.9004,-0.2245,0.6067,0,3.5097,568545.6578
Low,1529.043,9.0,0.5442,0.5829,244.264,0.1004,0.4212,0,4.2904,969197.7357
High,1909.2766,9.0,0.7305,0.6389,56.5187,0.1134,0.074,0,4.3338,201273.651
High,1125.4721,4.0,0.6749,0.4584,195.7314,0.0679,0.6597,1,3.1248,470044.7738
Low,2388.4524,6.0,0.8525,0.8935,203.8264,-0.3104,0.5839,1,4.9329,2110346.0611
High,1535.7986,3.0,0.4736,0.621,63.3654,0.2982,0.3849,1,3.8595,782530.7913
High,2149.9919,7.0,0.7293,0.8851,84.202,0.2077,0.2475,0,4.2925,431895.0745
Low,1936.4365,7.0,0.7657,0.6877,126.477,0.2717,0.5625,1,4.7801,1007929.4452
High,1963.3597,7.0,0.683,0.8944,222.7628,0.0649,0.4587,0,4.3433,1322688.4582
Low,1814.8487,6.0,0.4394,0.7185,156.863,0.1785,0.4419,0,3.2861,990722.6979
High,2240.5463,7.0,0.7464,0.808,180.4061,0.0629,0.2766,0,5.0,897582.6661
Medium,1810.1336,6.0,0.6594,0.7879,205.8196,0.3687,0.738,1,4.4019,2022069.7233
Medium,1263.998,8.0,0.5569,0.7735,214.7964,0.0713,0.5842,1,4.0327,568440.6758
Low,1067.9775,3.0,0.6494,0.7322,144.7806,0.4442,0.9597,1,4.1605,1646133.1782
High,1690.5933,5.0,0.4905,0.6451,151.2498,0.1935,0.3113,0,4.4569,928949.0093
Low,1148.7238,5.0,0.848,0.95,192.8832,0.0282,0.9657,1,4.4828,1380649.3921
Low,1255.6888,6.0,0.6259,0.544,102.4051,0.1441,0.5824,0,3.1609,345846.6814
Low,1027.5645,3.0,0.6728,0.6806,220.0435,0.0411,0.9528,1,3.7894,1125191.1988
High,1639.0937,4.0,0.5379,0.6822,54.1366,0.135,0.284,0,4.6239,411589.3186
Low,1038.5418,9.0,0.469,0.7404,88.9585,0.0107,0.3392,1,4.2742,188137.692
High,1892.2824,2.0,0.7937,0.6156,209.2398,0.0527,0.7502,0,4.121,1429432.4498
Medium,1987.9883,7.0,0.5419,0.7272,117.7114,0.2512,0.2552,1,4.7701,259200.073
Low,2136.7463,7.0,0.7036,0.6547,79.8167,0.1548,0.2783,0,4.5783,681422.8949
Low,1346.633,5.0,0.6154,0.4427,87.1642,0.1854,0.5371,1,3.6769,693401.0086
Low,1840.3626,2.0,0.8495,0.6814,155.6205,0.3383,0.9394,1,4.4859,869495.7535
Medium,1742.275,2.0,0.6664,0.5149,218.3901,-0.0087,0.7571,1,4.0486,1863671.7898
High,1764.1016,4.0,0.9,0.4198,64.0595,0.1394,0.3718,1,3.8027,533168.4325
Low,1951.306,2.0,0.786,0.7005,56.0657,0.081,0.7648,1,4.36,1533803.0881
High,1255.688,2.0,0.695,0.7532,142.5685,-0.2743,0.7466,0,4.2482,804326.3544
Low,2250.1818,3.0,0.5305,0.759,240.2813,-0.0323,0.69,1,3.1157,1362939.5363
High,1180.6607,3.0,0.8271,0.7651,105.523,0.1414,0.8626,1,4.442,672372.1352
High,2117.8404,8.0,0.6581,0.3901,240.8749,0.3999,0.1655,0,3.7717,346682.5369
High,1883.3653,7.0,0.8161,0.4758,226.6486,-0.0707,0.2631,0,4.5593,612664.3331
Medium,1462.5222,2.0,0.9383,0.95,106.3439,-0.2618,0.9287,1,3.8202,1358686.0889
High,2172.0936,7.0,0.9273,0.5229,212.5727,0.1712,0.35,0,4.2184,831716.5112
Low,1164.914,3.0,0.8329,0.7716,186.4876,0.5302,0.9861,1,4.5133,1072178.7565
Low,2031.8875,5.0,0.6464,0.577,151.8527,0.2854,0.5594,0,4.5609,1014725.859
Low,1740.9726,2.0,0.6046,0.692,134.1603,-0.008,0.7797,1,3.9854,4208313.5889
Medium,905.1514,2.0,0.3723,0.585,212.285,0.0628,0.8461,1,4.4305,645074.4426
Medium,1054.71,3.0,0.6732,0.7642,207.8228,0.006,0.9314,0,4.5477,902324.4762
Medium,1846.1981,5.0,0.411,0.7005,200.6303,0.2416,0.4743,0,3.6277,4484627.431
High,1407.5216,5.0,0.7466,0.6128,248.6529,0.3639,0.8209,1,4.4485,1786324.5908
Low,2164.2803,4.0,0.5968,0.5225,145.224,0.2081,0.46,0,3.7151,550921.1222
Medium,2044.5734,6.0,0.6934,0.7202,210.5777,0.5391,0.7159,1,4.8977,2539113.9591
Low,1932.1268,7.0,0.6608,0.4981,221.6332,0.0952,0.4283,0,3.241,666987.4902
Low,1383.3101,7.0,0.7408,0.7441,92.1089,-0.2502,0.5034,1,3.7572,945066.8007
Medium,1962.5977,6.0,0.6842,0.95,58.3712,-0.0404,0.3824,0,4.6725,559779.7727
High,2457.7423,6.0,0.9209,0.8825,130.5449,0.1396,0.4132,0,5.0,828481.1926
Medium,1016.321,5.0,0.587,0.7878,220.4906,0.4127,0.929,1,3.2148,2359235.4599
Low,1446.9646,3.0,0.734,0.6672,107.5316,0.415,0.9123,1,5.0,1598941.3194
Medium,1247.0285,5.0,0.6271,0.3892,189.302,0.3836,0.7038,1,3.7936,1544857.7258
Low,1575.92,2.0,0.785,0.4817,51.4623,0.1138,0.758,0,3.1553,1167274.5462
High,2108.2127,9.0,0.8357,0.8724,120.7175,0.1623,0.2328,0,3.1958,390055.2034
Medium,1820.8832,4.0,0.985,0.5615,172.4878,-0.081,0.757,0,3.6568,1988219.8257
Low,1572.4962,8.0,0.3863,0.5751,75.8217,0.2035,0.1518,0,3.6053,354790.8034
Low,1307.7917,9.0,0.5451,0.6552,228.4248,0.3629,0.6473,1,4.0222,1106731.8105
Low,971.466,5.0,0.4073,0.5207,81.0985,0.2538,0.5765,1,3.923,1102421.6322
High,1300.2225,8.0,0.638,0.496,231.0489,0.5359,0.5252,0,3.8194,1238188.6456
Medium,1975.8934,5.0,0.3707,0.6724,93.0615,0.1107,0.17,0,3.1106,333930.1559
High,1698.0798,3.0,0.5106,0.5463,247.8615,0.3696,0.6683,0,3.659,1623227.7661
Medium,1543.3231,2.0,0.7684,0.5688,170.345,-0.0225,0.8314,1,4.1268,1488122.7221
Medium,1971.5695,3.0,0.5186,0.5628,66.7846,0.3179,0.3742,1,3.9882,353076.148
Low,1014.5409,9.0,0.6443,0.7584,62.9902,0.2105,0.5548,1,3.873,449377.9793
High,1146.0402,5.0,0.4281,0.6452,64.9094,0.156,0.2954,0,4.1974,312614.0283
Low,1412.3866,4.0,0.8934,0.6532,167.3887,0.2471,0.939,1,4.2467,1191274.9693
Medium,2279.9647,5.0,0.5631,0.7695,211.1063,0.1827,0.4833,1,3.7009,1524579.0039
Medium,1896.6265,4.0,0.5883,0.6587,130.1896,0.2388,0.534,1,3.7947,1015841.6449
Medium,1866.5761,8.0,0.7375,0.6383,138.5223,0.0967,0.2881,0,4.7462,772056.3739
High,789.2607,9.0,0.4272,0.7506,167.2683,-0.0386,0.2813,0,3.7116,323993.3768
Low,1024.5998,2.0,0.3942,0.7802,156.0751,-0.1495,0.861,1,3.3576,1004167.2494
Medium,1855.7593,7.0,0.6814,0.6579,186.9243,0.3239,0.5216,0,4.7225,591343.0527
Medium,1464.031,4.0,0.6417,0.6921,143.8854,0.0203,0.6959,0,5.0,2340902.3011
Medium,2266.3125,2.0,0.6773,0.5627,192.0583,0.1194,0.6264,0,4.1325,1521747.6578
Low,2142.2351,9.0,0.8388,0.5509,248.4648,0.205,0.4724,1,4.9354,1247876.6475
Low,1776.0522,2.0,0.975,0.7954,119.7093,0.2361,0.9602,1,5.0,1415141.574
Low,2128.9121,3.0,0.8519,0.7467,52.4309,0.3465,0.7989,1,4.3563,1100202.4156
Low,2470.356,2.0,0.88,0.7483,74.9994,0.0957,0.7317,1,4.5911,3115250.4691
Medium,1780.9311,5.0,0.9525,0.7221,160.1493,0.0312,0.791,1,3.9876,2801072.4257
Medium,1957.5165,6.0,0.8236,0.6869,118.5073,0.2413,0.5502,1,4.3813,1269728.4703
Medium,2399.6248,4.0,0.8963,0.7845,237.0565,-0.0246,0.7599,1,4.2746,2173764.8026
Medium,1244.8842,2.0,0.5928,0.8203,174.8618,0.3254,0.9455,1,4.1197,1712550.7544
Medium,2075.0053,2.0,0.4646,0.8167,153.5507,0.1471,0.6404,0,3.6424,1442184.4821
Low,1184.9767,9.0,0.835,0.6649,208.8099,0.0091,0.7486,0,4.2116,963424.5318
Medium,1965.2883,8.0,0.8225,0.888,101.4594,0.0649,0.415,0,4.9108,877576.6817
Low,2166.811,9.0,0.8367,0.7143,213.128,0.3485,0.5805,0,4.5349,1230938.9954
Low,1905.0093,6.0,0.8041,0.7749,50.6092,-0.0804,0.4596,0,3.4655,786086.8207
Medium,1835.397,6.0,0.9602,0.7223,173.3158,-0.2981,0.6074,1,4.0993,1341206.0104
Medium,1741.271,8.0,0.5444,0.7171,236.0167,0.0825,0.3883,0,3.2282,1107465.0197
Low,1154.8092,6.0,0.6683,0.5696,206.7841,0.1766,0.8276,1,4.1732,852148.4318
Medium,1344.2747,5.0,0.8201,0.7852,219.8732,0.2404,0.9286,1,4.8532,2078807.1665
Medium,1439.7155,4.0,0.8475,0.95,128.994,-0.0753,0.8906,1,4.8195,844690.4902
Medium,1603.6638,5.0,0.3746,0.6238,214.0236,-0.1653,0.3297,0,3.0742,488603.5362
Medium,1674.1546,2.0,0.8294,0.6906,159.6155,0.5192,0.9462,1,4.7643,1328919.7463
Medium,1288.4203,3.0,0.6695,0.6131,173.0895,0.4815,0.914,1,4.0296,797374.6197
Low,2285.0427,7.0,0.7983,0.6068,61.7242,0.24,0.2739,0,3.7721,818661.954
High,1486.8634,8.0,0.6899,0.9117,90.1088,0.3689,0.4686,0,4.9871,403994.0385
Medium,1670.5123,2.0,0.8146,0.5791,159.6419,-0.1539,0.7812,1,4.5391,1014307.5484
Medium,1453.1641,2.0,0.5584,0.6089,61.7014,-0.0614,0.5535,1,4.2748,1172023.2944
Medium,1193.0407,2.0,0.6604,0.4419,197.5479,-0.2004,0.7806,1,3.3794,832675.1635
Medium,2030.4907,8.0,0.7391,0.5664,217.1713,0.1809,0.3472,0,4.7536,779363.6326
Medium,1529.7081,4.0,0.5911,0.4237,233.1521,0.1659,0.6617,1,3.49,797071.5906
